,name,height,points,salary
0,AJ Hammons,h-4,p-1,s-1
1,Aaron Gordon,h-4,p-4,s-9
2,Aaron Holiday,h-2,p-2,s-3
3,Abdel Nader,h-3,p-2,s-2
4,Admiral Schofield,h-3,p-1,s-2
5,Al Horford,h-4,p-4,s-10
6,Alec Burks,h-3,p-3,s-7
7,Alen Smailagic,h-4,p-1,s-2
8,Alex Caruso,h-3,p-2,s-3
9,Alex Len,h-4,p-2,s-3
10,Alfonzo McKinnie,h-3,p-1,s-2
11,Alize Johnson,h-3,p-1,s-1
12,Anderson Varejao,h-4,p-2,s-2
13,Andre Drummond,h-4,p-4,s-10
14,Andre Iguodala,h-3,p-2,s-9
15,Andre Roberson,h-3,p-1,s-1
16,Andrew Nicholson,h-4,p-2,s-3
17,Andrew Wiggins,h-3,p-4,s-10
18,Anfernee Simons,h-3,p-2,s-3
19,Anthony Davis,h-4,p-4,s-10
20,Anzejs Pasecniks,h-5,p-1,s-1
21,Aron Baynes,h-4,p-2,s-7
22,Austin Rivers,h-3,p-2,s-4
23,Avery Bradley,h-3,p-2,s-6
24,Bam Adebayo,h-4,p-4,s-6
25,Ben McLemore,h-3,p-2,s-3
26,Ben Simmons,h-4,p-4,s-10
27,Bismack Biyombo,h-4,p-2,s-4
28,Blake Griffin,h-4,p-3,s-10
29,Boban Marjanovic,h-5,p-2,s-4
30,Bobby Portis,h-4,p-3,s-4
31,Bogdan Bogdanovic,h-3,p-2,s-9
32,Bojan Bogdanovic,h-3,p-4,s-9
33,Brad Wanamaker,h-3,p-2,s-3
34,Bradley Beal,h-3,p-4,s-10
35,Brandon Clarke,h-4,p-3,s-3
36,Brandon Goodwin,h-2,p-1,s-2
37,Brandon Ingram,h-4,p-4,s-10
38,Brook Lopez,h-4,p-3,s-8
39,Bruno Caboclo,h-4,p-1,s-1
40,Bruno Fernando,h-4,p-1,s-2
41,Bryn Forbes,h-2,p-2,s-3
42,Buddy Hield,h-3,p-4,s-9
43,CJ McCollum,h-3,p-4,s-10
44,Caleb Martin,h-3,p-2,s-2
45,Cam Reddish,h-4,p-3,s-5
46,Cameron Johnson,h-4,p-3,s-5
47,Cameron Payne,h-2,p-2,s-2
48,Cameron Reynolds,h-3,p-2,s-1
49,Caris LeVert,h-3,p-4,s-9
50,Carmelo Anthony,h-3,p-4,s-2
51,Carsen Edwards,h-2,p-2,s-2
52,Cedi Osman,h-3,p-3,s-7
53,Chandler Hutchison,h-3,p-1,s-3
54,Chimezie Metu,h-4,p-1,s-1
55,Chris Boucher,h-4,p-4,s-7
56,Chris Clemons,h-1,p-2,s-2
57,Chris Paul,h-2,p-4,s-11
58,Chris Silva,h-4,p-1,s-2
59,Christian Wood,h-4,p-4,s-8
60,Clint Capela,h-4,p-4,s-9
61,Coby White,h-3,p-4,s-6
62,Cody Martin,h-3,p-1,s-2
63,Cody Zeller,h-4,p-2,s-9
64,Cole Aldrich,h-4,p-1,s-1
65,Collin Sexton,h-2,p-4,s-5
66,Cory Joseph,h-3,p-2,s-8
67,Cristiano Felicio,h-4,p-1,s-7
68,D'Angelo Russell,h-3,p-4,s-10
69,DaQuan Jeffries,h-3,p-1,s-2
70,Dakari Johnson,h-4,p-1,s-1
71,Damian Jones,h-4,p-1,s-1
72,Damian Lillard,h-2,p-4,s-10
