,name,height,points,salary
0,AJ Hammons,84.0,2.2,350087.0
1,Aaron Gordon,80.0,14.6,18136364.0
2,Aaron Holiday,72.0,6.9,2345640.0
3,Abdel Nader,77.0,6.7,1752950.0
4,Admiral Schofield,77.0,3.0,1517981.0
5,Al Horford,81.0,14.3,27500000.0
6,Alec Burks,78.0,12.6,6000000.0
7,Alen Smailagic,82.0,1.7,1517981.0
8,Alex Caruso,76.0,5.8,2750000.0
9,Alex Len,84.0,6.1,2258000.0
10,Alfonzo McKinnie,79.0,2.5,1762796.0
11,Alize Johnson,79.0,2.0,110998.0
12,Anderson Varejao,83.0,7.3,1913345.0
13,Andre Drummond,82.0,17.5,27957238.0
14,Andre Iguodala,78.0,4.7,15000000.0
15,Andre Roberson,79.0,1.2,163818.0
16,Andrew Nicholson,81.0,6.0,2844430.0
17,Andrew Wiggins,79.0,17.7,29542010.0
18,Anfernee Simons,75.0,8.0,2252040.0
19,Anthony Davis,82.0,22.5,32742000.0
20,Anzejs Pasecniks,85.0,0.0,374297.0
21,Aron Baynes,82.0,6.1,7000000.0
22,Austin Rivers,76.0,7.3,3500000.0
23,Avery Bradley,75.0,8.5,5635000.0
24,Bam Adebayo,81.0,19.2,5115492.0
25,Ben McLemore,75.0,6.6,2283034.0
26,Ben Simmons,83.0,16.1,30559200.0
27,Bismack Biyombo,80.0,5.5,3500000.0
28,Blake Griffin,81.0,11.6,32670565.0
29,Boban Marjanovic,88.0,4.4,3500000.0
30,Bobby Portis,82.0,10.8,3623000.0
31,Bogdan Bogdanovic,78.0,9.6,18000000.0
32,Bojan Bogdanovic,79.0,14.9,17850000.0
33,Brad Wanamaker,75.0,4.7,2250000.0
34,Bradley Beal,75.0,31.8,28751774.0
35,Brandon Clarke,80.0,11.8,2602920.0
36,Brandon Goodwin,72.0,3.9,1701593.0
37,Brandon Ingram,80.0,24.2,27285000.0
38,Brook Lopez,84.0,11.4,12697675.0
39,Bruno Caboclo,81.0,2.8,361256.0
40,Bruno Fernando,81.0,1.5,1517981.0
41,Bryn Forbes,74.0,9.5,2337145.0
42,Buddy Hield,76.0,16.9,24701834.0
43,CJ McCollum,75.0,23.8,29354152.0
44,Caleb Martin,77.0,5.3,1517981.0
45,Cam Reddish,80.0,11.2,4458000.0
46,Cameron Johnson,80.0,10.3,4235160.0
47,Cameron Payne,73.0,7.2,1977011.0
48,Cameron Reynolds,79.0,5.0,110998.0
49,Caris LeVert,78.0,17.3,16203704.0
50,Carmelo Anthony,79.0,14.0,1620564.0
51,Carsen Edwards,71.0,5.1,1517981.0
52,Cedi Osman,79.0,10.1,8840580.0
53,Chandler Hutchison,78.0,1.9,2443440.0
54,Chimezie Metu,81.0,3.4,50000.0
55,Chris Boucher,81.0,13.8,6500000.0
56,Chris Clemons,69.0,4.9,1517981.0
57,Chris Paul,72.0,15.7,41358814.0
58,Chris Silva,80.0,2.7,1517981.0
59,Christian Wood,82.0,21.9,13015874.0
60,Clint Capela,82.0,14.3,16000000.0
61,Coby White,77.0,15.2,5572680.0
62,Cody Martin,77.0,3.8,1517981.0
63,Cody Zeller,83.0,9.2,15415730.0
64,Cole Aldrich,83.0,3.1,685340.0
65,Collin Sexton,73.0,24.0,4991880.0
66,Cory Joseph,75.0,6.7,12600000.0
67,Cristiano Felicio,83.0,1.6,7529020.0
68,D'Angelo Russell,76.0,19.3,28649250.0
69,DaQuan Jeffries,77.0,3.9,1445697.0
70,Dakari Johnson,84.0,1.8,459414.0
71,Damian Jones,83.0,3.0,785285.0
72,Damian Lillard,74.0,30.1,31626953.0
73,Damion Lee,77.0,6.7,1762796.0
74,Damyean Dotson,77.0,6.7,2000000.0
75,Daniel Gafford,82.0,4.8,1517981.0
76,Daniel Theis,80.0,9.4,5000000.0
77,Danilo Gallinari,82.0,12.8,19500000.0
78,Danny Green,78.0,9.2,15365853.0
79,Dante Exum,77.0,3.8,9600000.0
80,Dario Saric,82.0,10.3,9250000.0
81,Darius Bazley,80.0,11.9,2399160.0
82,Darius Garland,73.0,16.4,6720720.0
83,Darius Miller,78.0,3.4,7000000.0
84,David Nwaba,77.0,9.2,1824003.0
85,Davis Bertans,82.0,10.8,15000000.0
86,De'Aaron Fox,75.0,23.8,8099627.0
87,De'Andre Hunter,80.0,16.7,7422000.0
88,De'Anthony Melton,74.0,9.6,9571712.0
89,DeAndre Jordan,83.0,7.6,10375678.0
90,DeAndre' Bembry,77.0,4.6,1737145.0
91,DeMar DeRozan,78.0,20.6,27739975.0
92,DeMarcus Cousins,82.0,9.6,1620564.0
93,DeMarre Carroll,78.0,8.9,6119676.0
94,Dean Wade,81.0,4.1,1517981.0
95,Deandre Ayton,83.0,14.5,10018200.0
96,Dejounte Murray,76.0,15.6,14286000.0
97,Delon Wright,77.0,10.5,9000000.0
98,Demetrius Jackson,73.0,1.8,92857.0
99,Dennis Schroder,75.0,15.0,16000000.0
100,Denzel Valentine,76.0,7.4,4642800.0
101,Derrick Favors,81.0,5.9,9258000.0
102,Derrick Rose,74.0,13.5,7682926.0
103,Derrick White,76.0,12.8,3516284.0
104,Devin Booker,77.0,25.1,29467800.0
105,Devonte' Graham,73.0,13.1,1663861.0
106,Dewayne Dedmon,84.0,6.4,2866667.0
107,Dillon Brooks,79.0,15.8,11400000.0
108,Dion Waiters,75.0,13.1,12650000.0
109,Domantas Sabonis,83.0,20.2,19800000.0
110,Donovan Mitchell,73.0,25.4,5195501.0
111,Doug McDermott,79.0,13.6,7333333.0
112,Draymond Green,78.0,6.1,22246956.0
113,Drew Eubanks,81.0,4.6,1620564.0
114,Duncan Robinson,79.0,12.5,1663861.0
115,Dwayne Bacon,78.0,9.9,1678854.0
116,Dwight Howard,82.0,6.6,1620564.0
117,Dwight Powell,82.0,4.4,11080125.0
118,Dylan Windler,78.0,5.4,2137440.0
119,Dzanan Musa,81.0,4.3,2002800.0
120,E'Twaun Moore,75.0,4.3,1620564.0
121,Ed Davis,81.0,2.3,5005350.0
122,Edmond Sumner,76.0,4.9,2160000.0
123,Elfrid Payton,75.0,12.4,4767000.0
124,Enes Kanter,82.0,12.1,5005350.0
125,Eric Bledsoe,73.0,11.3,16875000.0
126,Eric Gordon,75.0,17.8,16869276.0
127,Eric Paschall,78.0,9.5,1517981.0
128,Ersan Ilyasova,81.0,0.0,754783.0
129,Evan Fournier,79.0,19.6,17450000.0
130,Frank Jackson,75.0,5.2,250000.0
131,Frank Kaminsky,84.0,6.6,1620564.0
132,Frank Ntilikina,76.0,4.3,6176578.0
133,Fred VanVleet,73.0,20.1,21250000.0
134,Furkan Korkmaz,79.0,9.2,1762796.0
135,Garrett Temple,77.0,8.5,4767000.0
136,Gary Clark,78.0,3.4,2000000.0
137,Gary Harris,76.0,9.7,19160714.0
138,George Hill,76.0,11.8,9590602.0
139,Georges Niang,79.0,5.0,1783557.0
140,Giannis Antetokounmpo,83.0,29.0,27528088.0
141,Glenn Robinson III,78.0,5.3,930930.0
142,Goga Bitadze,83.0,3.8,2957520.0
143,Goran Dragic,75.0,13.9,18000000.0
144,Gordon Hayward,79.0,20.4,28500000.0
145,Gorgui Dieng,82.0,7.9,16587688.0
146,Grant Williams,78.0,5.0,2498760.0
147,Grayson Allen,76.0,9.5,2545320.0
148,Guerschon Yabusele,80.0,2.3,1039080.0
149,Hamidou Diallo,77.0,11.9,1663861.0
150,Harrison Barnes,80.0,16.3,22215909.0
151,Hassan Whiteside,84.0,8.0,1620564.0
152,Henry Ellenson,82.0,7.5,110998.0
153,Iman Shumpert,77.0,1.0,447155.0
154,Isaac Bonga,80.0,2.2,1663861.0
155,Isaiah Hartenstein,84.0,3.5,1620564.0
156,Isaiah Roby,80.0,9.0,1517981.0
157,Isaiah Thomas,69.0,18.1,110998.0
158,Ish Smith,72.0,5.2,6000000.0
159,Ivica Zubac,84.0,8.5,7000000.0
160,JJ Redick,75.0,8.7,13013700.0
161,JR Smith,78.0,12.4,1456667.0
162,Ja Morant,75.0,19.3,9166800.0
163,JaKarr Sampson,79.0,2.6,1620564.0
