,name,age,points,salary
0,AJ Hammons,29,2.2,350087.0
1,Aaron Gordon,26,14.6,18136364.0
2,Aaron Holiday,25,6.9,2345640.0
3,Abdel Nader,28,6.7,1752950.0
4,Admiral Schofield,25,3.0,1517981.0
5,Al Horford,35,14.3,27500000.0
6,Alec Burks,30,12.6,6000000.0
7,Alen Smailagic,21,1.7,1517981.0
8,Alex Caruso,28,5.8,2750000.0
9,Alex Len,28,6.1,2258000.0
10,Alfonzo McKinnie,29,2.5,1762796.0
11,Alize Johnson,25,2.0,110998.0
12,Anderson Varejao,39,7.3,1913345.0
13,Andre Drummond,28,17.5,27957238.0
14,Andre Iguodala,38,4.7,15000000.0
15,Andre Roberson,30,1.2,163818.0
16,Andrew Nicholson,32,6.0,2844430.0
17,Andrew Wiggins,27,17.7,29542010.0
18,Anfernee Simons,22,8.0,2252040.0
19,Anthony Davis,29,22.5,32742000.0
20,Anzejs Pasecniks,26,0.0,374297.0
21,Aron Baynes,35,6.1,7000000.0
22,Austin Rivers,29,7.3,3500000.0
23,Avery Bradley,31,8.5,5635000.0
24,Bam Adebayo,24,19.2,5115492.0
25,Ben McLemore,29,6.6,2283034.0
26,Ben Simmons,25,16.1,30559200.0
27,Bismack Biyombo,29,5.5,3500000.0
28,Blake Griffin,33,11.6,32670565.0
29,Boban Marjanovic,33,4.4,3500000.0
30,Bobby Portis,27,10.8,3623000.0
31,Bogdan Bogdanovic,29,9.6,18000000.0
32,Bojan Bogdanovic,32,14.9,17850000.0
33,Brad Wanamaker,32,4.7,2250000.0
34,Bradley Beal,28,31.8,28751774.0
35,Brandon Clarke,25,11.8,2602920.0
36,Brandon Goodwin,26,3.9,1701593.0
37,Brandon Ingram,24,24.2,27285000.0
38,Brook Lopez,34,11.4,12697675.0
39,Bruno Caboclo,26,2.8,361256.0
40,Bruno Fernando,23,1.5,1517981.0
41,Bryn Forbes,28,9.5,2337145.0
42,Buddy Hield,29,16.9,24701834.0
43,CJ McCollum,30,23.8,29354152.0
44,Caleb Martin,26,5.3,1517981.0
45,Cam Reddish,22,11.2,4458000.0
46,Cameron Johnson,26,10.3,4235160.0
47,Cameron Payne,27,7.2,1977011.0
48,Cameron Reynolds,27,5.0,110998.0
49,Caris LeVert,27,17.3,16203704.0
50,Carmelo Anthony,37,14.0,1620564.0
51,Carsen Edwards,24,5.1,1517981.0
52,Cedi Osman,26,10.1,8840580.0
53,Chandler Hutchison,25,1.9,2443440.0
54,Chimezie Metu,25,3.4,50000.0
55,Chris Boucher,29,13.8,6500000.0
56,Chris Clemons,24,4.9,1517981.0
57,Chris Paul,36,15.7,41358814.0
58,Chris Silva,25,2.7,1517981.0
59,Christian Wood,26,21.9,13015874.0
60,Clint Capela,27,14.3,16000000.0
61,Coby White,22,15.2,5572680.0
62,Cody Martin,26,3.8,1517981.0
63,Cody Zeller,29,9.2,15415730.0
64,Cole Aldrich,33,3.1,685340.0
65,Collin Sexton,23,24.0,4991880.0
66,Cory Joseph,30,6.7,12600000.0
67,Cristiano Felicio,29,1.6,7529020.0
68,D'Angelo Russell,26,19.3,28649250.0
69,DaQuan Jeffries,24,3.9,1445697.0
70,Dakari Johnson,26,1.8,459414.0
71,Damian Jones,26,3.0,785285.0
72,Damian Lillard,31,30.1,31626953.0
73,Damion Lee,29,6.7,1762796.0
74,Damyean Dotson,27,6.7,2000000.0
75,Daniel Gafford,23,4.8,1517981.0
76,Daniel Theis,29,9.4,5000000.0
77,Danilo Gallinari,33,12.8,19500000.0
78,Danny Green,34,9.2,15365853.0
79,Dante Exum,26,3.8,9600000.0
80,Dario Saric,27,10.3,9250000.0
81,Darius Bazley,21,11.9,2399160.0
82,Darius Garland,22,16.4,6720720.0
83,Darius Miller,32,3.4,7000000.0
84,David Nwaba,29,9.2,1824003.0
85,Davis Bertans,29,10.8,15000000.0
86,De'Aaron Fox,24,23.8,8099627.0
87,De'Andre Hunter,24,16.7,7422000.0
88,De'Anthony Melton,23,9.6,9571712.0
89,DeAndre Jordan,33,7.6,10375678.0
90,DeAndre' Bembry,27,4.6,1737145.0
91,DeMar DeRozan,32,20.6,27739975.0
92,DeMarcus Cousins,31,9.6,1620564.0
93,DeMarre Carroll,35,8.9,6119676.0
94,Dean Wade,25,4.1,1517981.0
95,Deandre Ayton,23,14.5,10018200.0
96,Dejounte Murray,25,15.6,14286000.0
97,Delon Wright,29,10.5,9000000.0
98,Demetrius Jackson,27,1.8,92857.0
99,Dennis Schroder,28,15.0,16000000.0
100,Denzel Valentine,28,7.4,4642800.0
101,Derrick Favors,30,5.9,9258000.0
102,Derrick Rose,33,13.5,7682926.0
103,Derrick White,27,12.8,3516284.0
104,Devin Booker,25,25.1,29467800.0
105,Devonte' Graham,27,13.1,1663861.0
106,Dewayne Dedmon,32,6.4,2866667.0
107,Dillon Brooks,26,15.8,11400000.0
108,Dion Waiters,30,13.1,12650000.0
109,Domantas Sabonis,25,20.2,19800000.0
110,Donovan Mitchell,25,25.4,5195501.0
111,Doug McDermott,30,13.6,7333333.0
112,Draymond Green,32,6.1,22246956.0
113,Drew Eubanks,25,4.6,1620564.0
114,Duncan Robinson,27,12.5,1663861.0
115,Dwayne Bacon,26,9.9,1678854.0
116,Dwight Howard,36,6.6,1620564.0
117,Dwight Powell,30,4.4,11080125.0
118,Dylan Windler,25,5.4,2137440.0
119,Dzanan Musa,22,4.3,2002800.0
120,E'Twaun Moore,33,4.3,1620564.0
121,Ed Davis,32,2.3,5005350.0
122,Edmond Sumner,26,4.9,2160000.0
123,Elfrid Payton,28,12.4,4767000.0
124,Enes Kanter,29,12.1,5005350.0
125,Eric Bledsoe,32,11.3,16875000.0
126,Eric Gordon,33,17.8,16869276.0
127,Eric Paschall,25,9.5,1517981.0
128,Ersan Ilyasova,34,0.0,754783.0
129,Evan Fournier,29,19.6,17450000.0
130,Frank Jackson,23,5.2,250000.0
131,Frank Kaminsky,28,6.6,1620564.0
132,Frank Ntilikina,23,4.3,6176578.0
133,Fred VanVleet,28,20.1,21250000.0
134,Furkan Korkmaz,24,9.2,1762796.0
135,Garrett Temple,35,8.5,4767000.0
136,Gary Clark,27,3.4,2000000.0
137,Gary Harris,27,9.7,19160714.0
138,George Hill,35,11.8,9590602.0
139,Georges Niang,28,5.0,1783557.0
140,Giannis Antetokounmpo,27,29.0,27528088.0
141,Glenn Robinson III,28,5.3,930930.0
142,Goga Bitadze,22,3.8,2957520.0
143,Goran Dragic,35,13.9,18000000.0
144,Gordon Hayward,32,20.4,28500000.0
145,Gorgui Dieng,32,7.9,16587688.0
146,Grant Williams,23,5.0,2498760.0
147,Grayson Allen,26,9.5,2545320.0
148,Guerschon Yabusele,26,2.3,1039080.0
149,Hamidou Diallo,23,11.9,1663861.0
150,Harrison Barnes,29,16.3,22215909.0
151,Hassan Whiteside,32,8.0,1620564.0
152,Henry Ellenson,25,7.5,110998.0
153,Iman Shumpert,31,1.0,447155.0
154,Isaac Bonga,22,2.2,1663861.0
155,Isaiah Hartenstein,23,3.5,1620564.0
156,Isaiah Roby,24,9.0,1517981.0
157,Isaiah Thomas,33,18.1,110998.0
158,Ish Smith,33,5.2,6000000.0
159,Ivica Zubac,25,8.5,7000000.0
160,JJ Redick,37,8.7,13013700.0
161,JR Smith,36,12.4,1456667.0
162,Ja Morant,22,19.3,9166800.0
163,JaKarr Sampson,29,2.6,1620564.0
164,JaMychal Green,31,8.7,7199760.0
165,JaVale McGee,34,8.0,4200000.0
166,Jabari Parker,27,2.7,6500000.0
167,Jacob Evans,24,2.8,2017320.0
168,Jae Crowder,31,10.1,9258000.0
169,Jahlil Okafor,26,4.3,1882867.0
170,Jake Layman,28,6.1,3761085.0
171,Jakob Poeltl,26,7.1,8101852.0
172,Jalen Brunson,25,12.2,1663861.0
173,Jalen Lecque,21,1.3,1517981.0
174,Jalen McDaniels,24,4.5,1517981.0
175,Jamal Murray,25,21.1,27285000.0
176,James Harden,32,25.3,41254920.0
177,James Johnson,35,5.7,16047100.0
178,Jared Dudley,36,0.5,1620564.0
179,Jarred Vanderbilt,22,5.6,1663861.0
180,Jarrett Allen,23,12.9,3909902.0
181,Jarrett Culver,23,6.8,6104280.0
182,Javonte Green,28,4.2,1517981.0
183,Jaxson Hayes,21,5.5,5105160.0
184,Jaylen Brown,25,24.7,23437500.0
185,Jaylen Nowell,22,10.5,1517981.0
186,Jayson Tatum,24,24.9,9897120.0
187,Jeff Green,35,9.8,1620564.0
188,Jeff Teague,33,6.6,1620564.0
189,Jerami Grant,28,23.3,19050000.0
190,Jeremy Lamb,29,11.1,10500000.0
191,Jerian Grant,29,6.1,50000.0
192,Jerome Robinson,25,5.2,3737520.0
193,Jevon Carter,26,2.8,3925000.0
194,Jimmy Butler,32,21.3,34379100.0
195,Joakim Noah,37,8.8,6431667.0
196,Joe Harris,30,14.7,16071429.0
197,Joe Ingles,34,12.3,10863637.0
198,Joel Embiid,28,29.9,29542010.0
199,John Collins,24,18.3,4137302.0
200,John Henson,31,7.6,110998.0
201,John Konchar,26,4.0,2100000.0
202,John Wall,31,21.1,41254920.0
203,Jon Leuer,32,6.4,3169348.0
204,Jonas Valanciunas,29,15.9,15000000.0
205,Jonathan Isaac,24,11.9,7362566.0
206,Jordan Bell,27,3.3,580062.0
207,Jordan Clarkson,29,17.5,11500000.0
208,Jordan Poole,22,10.8,2063280.0
209,Josh Gray,28,4.9,1620564.0
210,Josh Hart,27,9.1,3491159.0
211,Josh Jackson,25,13.2,4767000.0
212,Josh Okogie,23,4.8,2651040.0
213,Josh Richardson,28,13.3,10865952.0
214,Jrue Holiday,31,15.9,25876111.0
215,Juancho Hernangomez,26,6.2,6493000.0
216,Julius Randle,27,23.3,18900000.0
217,Justin Anderson,28,5.2,125000.0
218,Justin Holiday,32,11.6,5720400.0
219,Justin Jackson,27,7.0,5029650.0
220,Justin James,25,2.1,1517981.0
221,Justin Robinson,24,1.4,99020.0
222,Justise Winslow,26,7.8,13000000.0
223,Jusuf Nurkic,27,9.8,12888889.0
224,Juwan Morgan,24,0.9,1517981.0
225,KZ Okpala,22,2.7,1517981.0
226,Kawhi Leonard,30,25.9,34379100.0
227,Kelan Martin,26,1.3,1445697.0
228,Keldon Johnson,22,13.9,2048040.0
229,Kelly Olynyk,30,10.0,12819649.0
230,Kemba Walker,31,17.7,34379100.0
231,Kendrick Nunn,26,13.3,1663861.0
232,Kenrich Williams,27,7.0,2000000.0
233,Kent Bazemore,32,6.1,1620564.0
234,Kevin Durant,33,29.0,40108950.0
235,Kevin Huerter,23,11.9,2761920.0
236,Kevin Love,33,5.8,31258256.0
237,Kevon Looney,26,3.9,4821429.0
238,Khem Birch,29,5.5,3000000.0
239,Khris Middleton,30,20.4,33051724.0
240,Khyri Thomas,25,2.3,744684.0
241,Klay Thompson,32,21.5,35361360.0
242,Kris Dunn,28,7.3,4767000.0
243,Kristaps Porzingis,26,19.7,29467800.0
244,Kyle Anderson,28,12.8,9505100.0
245,Kyle Kuzma,26,12.1,3562178.0
246,Kyle Lowry,36,17.6,30500000.0
247,Kyle Singler,33,6.5,999200.0
248,Kyrie Irving,30,28.1,33460350.0
249,LaMarcus Aldridge,36,13.7,16750000.0
250,Landry Shamet,25,7.8,2090040.0
251,Langston Galloway,30,5.1,1620564.0
252,Larry Sanders,33,6.4,1865546.0
253,Lauri Markkanen,24,17.7,6731508.0
254,LeBron James,37,25.4,39219566.0
255,Lonzo Ball,24,14.2,11003782.0
256,Lou Williams,35,12.0,8000000.0
257,Luguentz Dort,22,12.6,1517981.0
258,Luka Doncic,23,29.0,8049360.0
259,Luka Samanic,22,3.8,2824320.0
260,Luke Kennard,25,8.0,5273826.0
261,Luke Kornet,26,2.0,2250000.0
262,Luol Deng,36,14.8,5000000.0
263,Malcolm Brogdon,29,21.6,20700000.0
264,Malik Beasley,25,20.5,13425895.0
265,Malik Monk,24,12.3,5345687.0
266,Marc Gasol,37,4.8,2564753.0
267,Marcus Smart,28,12.8,13446428.0
268,Mario Hezonja,27,6.9,1977011.0
269,Markelle Fultz,23,12.9,12288697.0
270,Markieff Morris,32,6.1,1620564.0
271,Marko Guduric,27,3.9,2750000.0
272,Marquese Chriss,24,6.5,1824003.0
273,Marvin Bagley III,23,13.9,8963640.0
274,Mason Plumlee,32,10.3,8000000.0
275,Matisse Thybulle,25,3.7,2711280.0
276,Matt Thomas,27,2.6,1517981.0
277,Matthew Dellavedova,31,3.1,1620564.0
278,Maurice Harkless,28,1.4,3623000.0
279,Maxi Kleber,30,7.8,8325000.0
280,Meyers Leonard,30,3.3,9400000.0
281,Mfiondu Kabengele,24,1.2,2075880.0
282,Mikal Bridges,25,13.7,4359000.0
283,Mike Conley,34,16.4,34502132.0
284,Mike Muscala,30,9.7,2283034.0
285,Mike Scott,33,3.8,5005350.0
286,Miles Bridges,24,9.6,3934320.0
287,Mitchell Robinson,24,8.6,1663861.0
288,Miye Oni,24,2.0,1517981.0
289,Mo Bamba,23,4.6,5969040.0
290,Monta Ellis,36,17.8,2245400.0
291,Monte Morris,26,10.4,1723707.0
292,Montrezl Harrell,28,14.8,9258000.0
293,Moritz Wagner,24,7.1,2161920.0
294,Moses Brown,22,6.6,1250000.0
295,Myles Turner,26,13.2,18000000.0
296,Nassir Little,22,5.3,2210640.0
297,Naz Reid,22,11.4,1517981.0
298,Nemanja Bjelica,33,7.2,7150000.0
299,Nerlens Noel,27,4.8,5000000.0
300,Nicolas Batum,33,8.6,9043478.0
301,Nicolas Claxton,22,9.8,1517981.0
302,Nicolo Melli,31,2.0,3897436.0
303,Nikola Jokic,27,27.1,29542010.0
304,Nikola Vucevic,31,24.5,26000000.0
305,Noah Vonleh,26,0.0,263995.0
306,Norman Powell,28,19.5,10865952.0
307,Norvel Pelle,29,2.3,217845.0
308,OG Anunoby,24,14.0,3872215.0
309,Omari Spellman,24,6.8,1988280.0
310,Oshae Brissett,23,1.9,300000.0
311,PJ Dozier,25,7.7,1762796.0
312,Pascal Siakam,28,19.8,30559200.0
313,Pat Connaughton,29,6.9,4938273.0
314,Patrick Beverley,33,8.3,13333333.0
315,Patrick McCaw,26,1.0,4000000.0
316,Patrick Patterson,33,4.7,3077704.0
317,Patty Mills,33,12.9,13535714.0
318,Paul George,31,22.5,35450412.0
319,Paul Millsap,37,9.5,10000000.0
320,Paul Watson,27,2.6,1445697.0
321,Quinn Cook,29,2.9,1000000.0
322,RJ Barrett,21,17.3,8231760.0
323,Rajon Rondo,36,3.9,8250000.0
324,Raul Neto,29,7.7,1620564.0
325,Rayjon Tucker,24,4.0,340000.0
326,Reggie Bullock,31,9.3,4200000.0
327,Reggie Jackson,31,8.7,1620564.0
328,Richaun Holmes,28,13.9,5005350.0
329,Ricky Rubio,31,8.8,17000000.0
330,Robert Covington,31,8.6,12138345.0
331,Robin Lopez,34,8.2,7300000.0
332,Rodions Kurucs,24,1.0,1780152.0
333,Rodney Hood,29,4.7,10047450.0
334,Rodney McGruder,30,5.6,5192307.0
335,Romeo Langford,22,2.5,3631200.0
336,Royce O'Neale,28,7.5,8500000.0
337,Rudy Gay,35,10.9,14500000.0
338,Rudy Gobert,29,14.5,27525281.0
339,Rui Hachimura,24,13.4,4692840.0
340,Russell Westbrook,33,21.7,41358814.0
341,Ryan Anderson,33,12.3,5214583.0
342,Ryan Arcidiacono,28,3.2,3000000.0
343,Sekou Doumbouya,21,3.9,3449400.0
344,Semi Ojeleye,27,5.4,1752950.0
345,Serge Ibaka,32,10.9,9258000.0
346,Seth Curry,31,12.9,7834449.0
347,Shake Milton,25,13.8,1701593.0
348,Shaquille Harrison,28,1.0,770433.0
349,Shaun Livingston,36,6.3,666667.0
350,Sindarius Thornwell,27,1.2,721484.0
351,Solomon Hill,31,4.2,1620564.0
352,Spencer Dinwiddie,28,6.7,11454048.0
353,Stanley Johnson,25,2.9,3804150.0
354,Stephen Curry,34,29.0,43006362.0
355,Sterling Brown,27,7.6,1620564.0
356,Steven Adams,28,8.1,29592695.0
357,Svi Mykhailiuk,24,7.0,1663861.0
358,Taj Gibson,36,4.2,1442968.0
359,Taurean Prince,28,8.3,12250000.0
360,Terance Mann,25,5.3,1517981.0
361,Terence Davis,24,7.0,1517981.0
362,Terrance Ferguson,23,0.2,3944013.0
363,Terrence Ross,31,16.0,13500000.0
364,Terry Rozier,28,20.2,18900000.0
365,Thaddeus Young,33,12.2,13545000.0
366,Thanasis Antetokounmpo,29,2.2,1701593.0
367,Thomas Bryant,24,14.3,8333333.0
368,Thon Maker,25,3.8,309355.0
369,Tim Frazier,31,1.3,110998.0
370,Tobias Harris,29,20.8,34358850.0
371,Tomas Satoransky,30,7.5,10000000.0
372,Tony Bradley,24,4.8,3542060.0
373,Tony Snell,30,5.6,12178571.0
374,Torrey Craig,31,2.9,1620564.0
375,Trae Young,23,25.7,6571800.0
376,Trevor Ariza,36,4.0,12800000.0
377,Trey Burke,29,7.0,3000000.0
378,Trey Lyles,26,5.0,5500000.0
379,Tristan Thompson,31,7.9,9258000.0
380,Troy Williams,27,6.0,122741.0
381,Ty Jerome,24,9.9,2303040.0
382,Tyler Cook,24,0.7,99020.0
383,Tyler Herro,22,15.1,3822240.0
384,Tyler Johnson,29,5.2,1620564.0
385,Tyus Jones,25,7.5,8817143.0
386,Udonis Haslem,41,3.0,1620564.0
387,Victor Oladipo,29,20.8,21000000.0
388,Vincent Poirier,28,0.8,2619207.0
389,Vlatko Cancar,24,1.4,1517981.0
390,Wayne Ellington,34,10.6,1620564.0
391,Wenyen Gabriel,25,0.2,1620564.0
392,Wesley Matthews,35,4.5,3623000.0
393,Will Barton,31,13.0,13723214.0
394,Willy Hernangomez,27,6.3,1620564.0
395,Yogi Ferrell,28,9.5,110998.0
396,Zach Collins,24,7.0,5406255.0
397,Zach LaVine,27,28.2,19500000.0
398,Zhaire Smith,22,3.7,1068200.0
399,Zion Williamson,21,25.7,10245480.0
400,Zylan Cheatham,26,3.0,1445697.0
